Size,Insertionsort,Heapsort,Mergesort,Quicksort
100,6698,24218,39783,44352
200,29228,55501,71197,36804
300,80256,89229,111096,70181
400,131175,126448,146867,114747
500,240923,165796,191583,123396
600,263546,207704,225060,145522
700,347110,239630,269039,142956
800,379361,279585,313078,161897
900,453075,320456,344378,183567
1000,547698,359457,375002,205610
1100,679223,402419,418900,227698
1200,745641,436450,506031,281020
1300,886679,486988,501808,314289
1400,1119483,552487,546524,289941
1500,1221817,592551,581731,309735
1600,1373729,624966,615107,326139
1700,1539985,669281,688614,351964
1800,1715658,710094,708581,370251
1900,1929452,745411,742178,385062
2000,2202823,802690,787557,430544
2100,2323441,851347,814677,460521
2200,2507163,889331,865717,467479
2300,2740122,917053,906781,483363
2400,3145098,1022543,969723,508406
2500,3341927,1132469,1016741,518306
2600,3811313,1110223,1027585,536456
2700,3825806,1126413,1075445,584241
2800,4025540,1155771,1090531,635682
2900,4359588,1230167,1147557,626378
3000,4724389,1237204,1176183,641154
3100,5244485,1269381,1246787,673580
3200,5513096,1388819,1306713,680066
3300,5951371,1359955,1332538,703868
3400,6301342,1449722,1358794,795653
3500,6606475,1555756,1392239,813245
3600,7230320,1537525,1472105,773138
3700,7357988,1594540,1553291,797653
3800,7805279,1661486,1600970,804317
3900,8242307,1651451,1547471,845630
4000,8755004,1720309,1574747,859748
4100,9258198,1813909,1609120,869453
4200,9690463,1815892,1691118,919483
4300,10255262,1903377,1689436,1004051
4400,10478865,1980922,1760624,991883
4500,11083540,2015060,1795607,979662
4600,11397566,2019417,1832573,992227
4700,11881713,2071967,1838800,1067577
4800,12472882,2138907,1905659,1097059
4900,13483075,2142478,1973163,1060986
5000,13755580,2162808,1972546,1139072
5100,14080684,2341792,2076888,1178032
5200,14775410,2323988,2089513,1171786
5300,15393732,2440853,2119321,1183908
5400,15737480,2421079,2139919,1234843
5500,16227001,2465081,2231409,1236396
5600,17185426,2513910,2255707,1290818
5700,17715369,2594454,2294338,1320673
5800,18234103,2603134,2272364,1333497
5900,18936978,2664591,2369238,1369556
6000,19472319,2758730,2428368,1391236
6100,20308064,2784504,2568162,1379569
6200,20844591,2763500,2439099,1414687
6300,21741950,2911827,2472989,1608593
6400,22221227,2911784,2530273,1574985
6500,22940097,2910410,3089699,1507563
6600,23553426,3018696,3283751,1519396
6700,24242220,3075816,3358557,1627088
6800,25379821,3108218,3021616,1588976
6900,25864168,3139198,2818072,1690736
7000,26751302,3162051,2891445,1609027
7100,27498013,3307369,2888836,1646525
7200,28141595,3361846,2912355,1654133
7300,28837114,3397748,3031986,1730911
7400,29755083,3403071,3051720,1745004
7500,30506265,3482526,3036231,1757218
7600,31481752,3506136,3123874,1770301
7700,32354697,3604645,3020717,1887434
7800,33068906,3612232,3190273,1818157
7900,33985331,3655808,3210352,1815583
8000,34923224,3771188,3207777,1866746
8100,35652649,3786076,3528395,1982416
8200,36643633,4014965,3518896,1912665
8300,37480961,3952526,3500279,1920794
8400,38483274,3994791,3842654,1968592
8500,39226296,4084300,3771693,2114531
8600,39932623,4146361,3728748,2064116
8700,41239657,4131217,3636544,2032357
8800,42045689,4236836,3651789,2051461
8900,42878584,4238290,3711866,2088914
9000,44039818,4273200,3709231,2203991
9100,45125501,4418948,3720763,2117003
9200,45770519,4366949,3829680,2212106
9300,47066134,4520018,3937456,2258209
9400,48417935,4488842,3830508,2220779
9500,48854331,4537456,3927242,2228948
9600,49969030,4657120,12448964,2346170
9700,51618873,4731102,9607989,2327300
9800,52153132,4729130,19411105,2304302
9900,54053340,4827904,18006482,2407930
10000,55276958,4852695,11339302,2422339
